ACH3666 ; A Cidade Constitucional
LOQ4007 ; Físico-Química
8800003 ; Fundamentos de Engenharia de Segurança no Trabalho
LOB1055 ; Fundamentos de Engenharia de Segurança no Trabalho
LOT2058 ; Fundamentos de Engenharia Econômica
LOQ4077 ; Fundamentos de Fenômenos de Transporte
LOM3056 ; Fundamentos de Química Orgânica
LOT2018 ; Genética de Microrganismos Industriais
LOT2049 ; Genética e Biotecnologia Vegetal
LOB1036 ; Geometria Analítica
LOB1242 ; Geossintéticos em Obras de Proteção e Recuperação Ambiental
LOB1051 ; Gestão Ambiental
LOB1228 ; Gestão Ambiental na Empresa
LOQ4046 ; Gestão da Produção e Logística
LOQ4225 ; Gestão da Tecnologia da Informação
8800002 ; Gestão de Negócios
LOQ4233 ; Gestão de Negócios
LOQ4221 ; Gestão de Projetos
LOB1209 ; Gestão de Resíduos Sólidos
LOQ4226 ; Gestão Estratégica da Produção
LOQ4008 ; Gestão Tecnológica
LOB1216 ; Hidrologia e Hidráulica Aplicadas
LOM3072 ; Hidrometalurgia
LOB1235 ; Impactos e Adeqüação Ambiental
LOB1043 ; Informática Aplicada
LOM3084 ; Inspeção e Ensaios Não Destrutivos
LOT2037 ; Instrumentação e Controle de Bioprocessos
LOQ4009 ; Instrumentação na Industria Química
LOB1234 ; Instrumentos de Política Ambiental
LOM3016 ; Introdução à  Ciência dos Materiais
LOQ4010 ; Introdução à  Engenharia  Química
LOB1023 ; Introdução à  Programação de Computadores
LOQ4231 ; Introdução à Econômia
LOM3258 ; Introdução à Eletrônica e Computação Física
LOB1201 ; Introdução à Engenharia Ambiental
LOT2043 ; Introdução à Engenharia Bioquímica
LOQ4044 ; Introdução à Engenharia da Qualidade
LOM3018 ; Introdução à Engenharia de Materiais
LOQ4201 ; Introdução à Engenharia de Produção
LOM3218 ; Introdução à Engenharia Física
LOB1251 ; Introdução a Inovação Sistemática com TRIZ
LOM3081 ; Introdução à Mecânica dos Sólidos
LOM3219 ; Introdução à Nanotecnologia
LOM3255 ; Introdução a Projetos de Engenharia
LOM3220 ; Introdução à Spintrônica
LOM3019 ; Introdução à Supercondutividade
LOB1204 ; Introdução ao Ambiente e Desenvolvimento Sustentável
LOB1202 ; Introdução ao Gerenciamento de Projetos Ambientais
LOQ4080 ; Introdução aos Balanços de Massa e de Energia
LOM3057 ; Introdução aos Materiais Poliméricos
LOM3254 ; Laboratório de Circuitos Elétricos
LOB1040 ; Laboratório de Eletricidade
LOM3221 ; Laboratório de Eletrônica
LOT2047 ; Laboratório de Engenharia Bioquímica
LOM3085 ; Laboratório de Engenharia de Materiais I
LOM3086 ; Laboratório de Engenharia de Materiais II
LOM3087 ; Laboratório de Engenharia de Materiais III
LOM3088 ; Laboratório de Engenharia de Materiais IV
LOQ4060 ; Laboratório de Engenharia Química I
LOQ4061 ; Laboratório de Engenharia Química II
LOQ4062 ; Laboratório de Engenharia Química III
LOQ4063 ; Laboratório de Engenharia Química IV
LOB1221 ; Legislação Ambiental
LOB1009 ; Leitura e Interpretação de Desenho Técnico
LOB1045 ; Leitura e Produção de Textos Acadêmicos
LOB1232 ; Licenciamento Ambiental
LOQ4217 ; Logística e Cadeia de Suprimento
LOQ4220 ; Logística Reversa
LOM3066 ; Materiais Compósitos
LOM3222 ; Materiais e Dispositivos Dielétricos e Piezelétricos
LOM3259 ; Materiais e Dispositivos Eletrônicos
LOM3223 ; Materiais e Dispositivos Magnéticos e Supercondutores
LOM3224 ; Materiais e Dispositivos Ópticos e Fotônicos
LOM3225 ; Materiais e Dispositivos Semicondutores
LOM3061 ; Materiais e Meio Ambiente
LOM3022 ; Materiais para a  Indústria Química
LOM3095 ; Materiais, Energia e Tecnologias Limpas
LOB1024 ; Mecânica
LOM3257 ; Mecânica Clássica
LOQ4012 ; Mecânica dos Fluídos
LOM3089 ; Mecânica dos Fluidos e Reologia
LOM3101 ; Mecânica dos Materiais
LOM3040 ; Mecânica dos Sólidos
LOM3090 ; Mecânica dos Sólidos Aplicada
LOM3226 ; Mecânica Quântica
LOM3025 ; Metalurgia Mecânica
LOM3227 ; Métodos Computacionais da Física
LOB1243 ; Métodos de Investigação Geológico-geotécnica em Estudos Ambientais
LOB1035 ; Métodos de Matemática Aplicada
LOM3228 ; Métodos Experimentais da Física I
LOM3229 ; Métodos Experimentais da Física II
LOM3230 ; Métodos Experimentais da Física III
LOM3231 ; Métodos Experimentais da Física IV
LOM3026 ; Métodos Numéricos Aplicados à Engenharia
LOM3232 ; Metrologia
LOT2053 ; Microbiologia
LOT2046 ; Microbiologia e Bioquimica Aplicadas
LOT2050 ; Microbiologia Experimental
LOT2019 ; Microbiologia Geral
LOT2020 ; Microbiologia Industrial
LOT2021 ; Microbiologia Industrial A
LOM3233 ; Microprocessadores
LOM3091 ; Microscopia Eletrônica de Varredura
LOQ4045 ; Modelagem e Simulação Computacional de Processos
LOQ4013 ; Modelagem e Simulação de  Processos
LOQ4078 ; Modelagem e Simulação de Processos
LOT2022 ; Modelagem e Simulação de Processos Biotecnológicos
LOQ4223 ; Modelagem e Simulação de Sistemas
LOB1231 ; Modelagem Matemática Aplicada
LOB1244 ; Monitoramento Ambiental
LOQ4014 ; Normalização e Controle de  Qualidade
LOQ4015 ; Operações Unitárias  I
LOB1217 ; Operações Unitárias e Processos
LOQ4016 ; Operações Unitárias Experimental I
LOQ4017 ; Operações Unitárias Experimental II
LOQ4085 ; Operações Unitárias I
LOQ4018 ; Operações Unitárias II
LOQ4086 ; Operações Unitárias II
LOQ4057 ; Operações Unitárias III
LOM3234 ; Óptica Física
LOQ4227 ; Organização do Trabalho na Produção
LOB1027 ; Organização Industrial
LOQ4206 ; Pesquisa Operacional I
LOQ4210 ; Pesquisa Operacional II
LOQ4093 ; Petróleo e Gás Natural
LOQ4094 ; Petroquímica
LOM3027 ; Pirometalurgia
LOB1224 ; Planejamento Ambiental e Urbanismo
LOQ4019 ; Planejamento de Experimentos
LOQ4224 ; Planejamento de Experimentos
LOQ4215 ; Planejamento e Controle da Produção
LOQ4059 ; Polímeros
LOQ4020 ; Polímeros I
LOQ4021 ; Polímeros II
LOB1207 ; Poluição Ambiental I
LOB1211 ; Poluição Ambiental II
LOB1220 ; Poluição Atmosférica
LOB1028 ; Português
LOB1029 ; Prática Esportiva I
LOB1030 ; Prática Esportiva II
LOM3073 ; Processamento de Cerâmicas I
LOM3074 ; Processamento de Cerâmicas II
LOM3235 ; Processamento de Materiais
LOT2042 ; Processos Bioquímicos
LOT2023 ; Processos Bioquímicos Industriais
LOT2034 ; Processos Bioquímicos Industriais - A
LOQ4208 ; Processos da Indústria de Serviços
LOQ4232 ; Processos da Indústria Eletro Eletrônica
LOM3079 ; Processos da Indústria Mecânica
LOM3080 ; Processos da Indústria Metalúrgica e Siderúrgica
LOQ4207 ; Processos da Indústria Química
LOM3236 ; Processos de Fabricação
LOQ4072 ; Processos de Separação por Membranas
LOQ4022 ; Processos Químicos Industriais I
LOQ4023 ; Processos Químicos Industriais II
LOQ4024 ; Processos Químicos Industriais III
LOM3032 ; Produtos Cerâmicos
LOM3033 ; Produtos Metálicos
LOM3237 ; Projeto Assistido por Computador
LOQ4216 ; Projeto da Fábrica
8800006 ; Projeto de Engenharia I
8800007 ; Projeto de Engenharia II
LOB1245 ; Projeto de Sistemas de Tratamento de Águas Residuárias
LOQ4219 ; Projeto do Produto e Processo
LOM3067 ; Projeto Industrial e Planejamento de Controle da Produção
LOM3034 ; Projeto Industrial e Planejamento de Controle de Produção
LOQ4236 ; Projeto Integrado de Engenharia de Produção I
LOQ4237 ; Projeto Integrado de Engenharia de Produção II
LOQ4238 ; Projeto Integrado em Engenharia de Produção III
LOM3238 ; Projeto Integrado I
LOM3239 ; Projeto Integrado II
LOQ4091 ; Projeto Integrador em Engenharia Química I
LOQ4049 ; Projeto na Industria Química
LOQ4075 ; Projeto na Indústria Química
8800008 ; Projetos Especiais em Engenharia
LOM3096 ; Propriedades Elétricas, Magnéticas, Térmicas e Ópticas
LOM3035 ; Propriedades Elétricas, Magnéticas, Térmicas e Óticas
LOM3036 ; Propriedades Mecânicas
LOB1031 ; Psicologia Organizacional e do Trabalho
LOQ4026 ; Química Ambiental
LOB1208 ; Química Analítica Ambiental I
LOB1212 ; Química Analítica Ambiental II
LOQ4027 ; Química Analítica I
LOQ4028 ; Química Analítica II
LOQ4056 ; Química Analítica para Engenharia
LOT2036 ; Química Bioinorgânica
LOT2024 ; Química de Biomassa
LOM3241 ; Química de Materiais
LOM3058 ; Química de Polímeros
LOQ4029 ; Química Geral  Experimental II
LOQ4030 ; Química Geral Experimental I
LOQ4031 ; Química Geral I
LOQ4032 ; Química Geral II
LOQ4073 ; Química Geral II
LOM3037 ; Química Inorgânica
LOQ4055 ; Quimica Inorgânica
LOQ4033 ; Química Inorgânica Experimental
LOM3240 ; Química Inorgânica Fundamental e Aplicada
LOQ4034 ; Química Inorgânica I
LOQ4035 ; Química Inorgânica II
LOQ4081 ; Química Orgânica
LOQ4036 ; Química Orgânica  Experimental
LOQ4074 ; Química Orgânica Experimental
LOT2059 ; Química Orgânica Fundamental
LOQ4037 ; Química Orgânica I
LOQ4038 ; Química Orgânica II
LOT2025 ; Reatores Bioquímicos
LOQ4002 ; Reatores Quimicos
LOB1226 ; Recuperação de Áreas Degradadas
LOB1215 ; Recursos Energéticos
LOB1218 ; Recursos Hídricos
LOM3038 ; Recursos Naturais
LOM3242 ; Reologia
LOM3059 ; Reologia e Processamento de Polímeros
LOB1032 ; Segurança Industrial
LOM3043 ; Seleção de Materiais
LOM3243 ; Seminários em Engenharia Física
LOM3244 ; Sensores e Transdutores
LOB1034 ; Séries e Equações Diferenciais
LOB1219 ; Sistemas de Abastecimento de Água
LOQ4241 ; Sistemas de Apoio à Decisão
LOB1214 ; Sistemas de Informações Geográficas
LOQ4066 ; Sistemas Particulados
LOQ4203 ; Sistemas Produtivos I
LOQ4205 ; Sistemas Produtivos II
LOM3076 ; Soldagem
LOM3045 ; Solidificação
LOM3094 ; Solidificação de Metais
LOB1206 ; Solos I
LOB1210 ; Solos II
LOM3245 ; Técnicas Avançadas de Caracterização de Materiais
LOB1222 ; Técnicas de Análise Ambiental
LOM3046 ; Técnicas de Análise Microestrutural
LOM3047 ; Técnicas de Análise Química
LOM3247 ; Técnicas de Análises Espectroscópicas
LOM3246 ; Técnicas de Caracterização de Materiais
LOM3060 ; Técnicas de Caracterização de Polímeros
LOM3098 ; Tecnologia de Abrasivos
LOT2026 ; Tecnologia de Alimentos
LOT2038 ; Tecnologia de Bebidas
LOT2052 ; Tecnologia de Bebidas Experimental
LOT2060 ; Tecnologia de Biopolímeros
LOT2030 ; Tecnologia de Conversão de Biomassa Vegetal
LOB1252 ; Tecnologia de Mitigação de CO2
LOM3065 ; Tecnologia de Plásticos
LOT2028 ; Tecnologia de Processos Fermentativos
LOM3048 ; Tecnologia de Vidros
LOT2051 ; Tecnologia do Cultivo de Células Animais
LOM3053 ; Tecnologias de Vácuo e Baixa Temperatura
LOM3102 ; Teoria da Elasticidade Aplicada
LOQ4039 ; Termodinâmica
LOQ4076 ; Termodinâmica Aplicada
LOM3049 ; Termodinâmica de Máquinas
LOM3015 ; Termodinâmica de Materiais
LOQ4040 ; Termodinâmica Química
LOQ4087 ; Termodinâmica Química Aplicada I
LOQ4088 ; Termodinâmica Química Aplicada II
LOM3252 ; Termodinâmica Técnica
LOM3256 ; Tópicos em Cálculo de Estrutura Eletrônica dos Materiais
LOQ4071 ; Tópicos Especiais de Gestão da Qualidade
8800005 ; Tópicos Especiais de Gestão de Negócios
LOQ4235 ; Tópicos Especiais de Gestão de Negócios
LOQ4052 ; Tópicos Especiais de Gestão e Produção
LOQ4069 ; Tópicos Especiais de Operações Unitárias
LOB1047 ; Tópicos Especiais de Produção de Textos Acadêmicos
LOQ4070 ; Tópicos Especiais de Reatores Químicos
LOM3050 ; Tópicos Especiais em Engenharia de Materiais I
LOM3051 ; Tópicos Especiais em Engenharia de Materiais II
LOM3248 ; Tópicos Especiais em Engenharia Física I
LOM3249 ; Tópicos Especiais em Engenharia Física II
LOQ4067 ; Tópicos Especiais em Engenharia Química I
LOQ4068 ; Tópicos Especiais em Engenharia Química II
LOQ4048 ; Trabalho de  Conclusão do Curso II
LOT2048 ; Trabalho de Conclusão de Curso
LOQ4047 ; Trabalho de Conclusão de Curso I
LOQ4089 ; Trabalho de Conclusão de Curso I
LOT2056 ; Trabalho de Conclusão de Curso I
LOQ4090 ; Trabalho de Conclusão de Curso II
LOT2057 ; Trabalho de Conclusão de Curso II
LOM3250 ; Trabalho de Graduação
LOQ4228 ; Trabalho de Graduação em Engenharia de Produção I
LOQ4229 ; Trabalho de Graduação em Engenharia de Produção II
LOB1223 ; Trabalho de Graduação I
LOM3062 ; Trabalho de Graduação I
LOB1229 ; Trabalho de Graduação II
LOM3063 ; Trabalho de Graduação II
LOQ4041 ; Transferência de Calor
LOQ4042 ; Transferência de Massa
LOB1246 ; Tratamento Avançado e Reuso de Águas
LOT2035 ; Tratamento Biológico de Efluentes - A
LOB1225 ; Tratamento de Águas Residuárias
LOM3071 ; Tratamento de Minérios
LOM3069 ; Tratamento de Minérios e Hidrometalurgia
LOQ4043 ; Tubulações Industriais
LOM3077 ; Usinagem de Materiais
LOM3251 ; Vibração e Acústica
MZC0012 ; \\\Evolução e Filogenia dos Principais Ramos de Moluscos\\\
MZC0019 ; Análise Filogenética de Caracteres Fenotípicos: Teoria e Prática
MZC0013 ; As Ordens de Malacostraca (crustacea) Morfologia Comparada, Sistemática, Biologia
MZC0018 ; Curadoria de Coleções em Museus de História Natural
MZC0016 ; Entomologia de campo
MZC0014 ; Entomologia Médica e Veterinária
MZC0017 ; Ornitologia
MUP0103 ; Cultura Visual no Século Xix: Museus, Exposições Universais e Cidades
MUP0107 ; Espaço Doméstico e Sociedade na Perspectiva da Cultura Material I
MUP0002 ; Fotografias em Acervos Museológicos Históricos
MUP0101 ; Introdução ao Estudo da Cultura Material
MUP0105 ; Multimídia em Museus
MUP0106 ; Narrativa Audiovisual
MUP0108 ; Práticas Sociais e Circulação de Artefatos na América Portuguesa
MUP0104 ; Preservação do Patrimônio Cultural no Brasil: Conceitos, Políticas Públicas, Estratégias.
FLG0116 ; A cidade e o urbano no Brasil: Teoria e Método
FLH0130 ; A Economia nas Sociedades Pré-modernas
FLH0423 ; A Escola no Mundo Contemporâneo
FLM0506 ; A Escrita Literária
FLL1009 ; A Formação das Línguas Neolatinas
FLP0461 ; A Governança dos Recursos de Uso Comum: Arranjos Institucionais e Análise Multinível para a Gestão de Recursos Naturais em âmbito Local/Global
FLM0268 ; A Heterogeneidade na Língua Espanhola
FLL0191 ; A Lingüística das Línguas de Sinais
FLL1005 ; A Lingüística na Educação Básica
FLM0592 ; A Literatura e a Cultura como Processo de Formação
FLM0529 ; A Literatura e as Outras Artes
FLA0392 ; A memória e suas artes: espaço-tempo, imagem-narrativa, corpo-ritual
FSL0531 ; A Prisão na Sociedade Moderna
FLH0119 ; A Revolução Russa: História e Historiografia
FLM0695 ; A Shoa como Fenômeno Histórico e Tópicos da Memória Coletiva
FSL0525 ; A Sociologia e a Cidade
FLM0591 ; Abordagens Críticas da Literatura
FLM0661 ; Abordagens Críticas e o Ensino da Literatura
FLG0540 ; Aerofotogeografia
FLH0702 ; América Independente: Formação e Relações Internacionais
FLM0678 ; Análise de Textos Italianos
FLM0520 ; Análise e Prática de Pronúncia do Inglês
FLG0109 ; Análise Espacial e Geoprocessamento
FLL1025 ; Análise Sincrônica e Diacrônica de Línguas Indígenas Brasileiras
FLA0395 ; Antropologia da guerra
FLA0324 ; Antropologia da Imagem
FLA0370 ; Antropologia da Performance
FLA0365 ; Antropologia da Política
FLA0391 ; Antropologia da Religião
FLA0318 ; Antropologia da Sociedade Multi-racial Brasileira: O Segmento Negro
FLA0382 ; Antropologia das Emoções: Modos de (re)construção e de Regulação da Vida Social
FLA0387 ; Antropologia das emoções: modos de (re)construção e de regulação da vida social
FLA0361 ; Antropologia e Cinema
FLA0335 ; Antropologia e Desenvolvimento
FLA0358 ; Antropologia e Direito
FLA0362 ; Antropologia e Gênero
FLA0331 ; Antropologia e História: Debates em Região de Fronteira
FLA0397 ; Antropologia e homossexualidades
FLA0393 ; Antropologia e literatura: trânsitos e contaminações
FLA0384 ; Antropologia e Música
FLA0102 ; Antropologia II - Questões de Antropologia Clássica
FLA0205 ; Antropologia III - Estruturalismo
FLA0206 ; Antropologia IV - Questões de Antropologia Contemporânea
FLA0307 ; Antropologia Urbana
FLA0383 ; Antropologia Visual: Uso da  Fotografia na Antropologia
FLA0389 ; Antropologia, Mitologia e Narrativa
FLL1011 ; Aquisição de Sintaxe e Semântica
FLM0640 ; Aquisição/Aprendizagem do Alemão como Língua Estrangeira
FLM0647 ; Aquisição/Aprendizagem do Espanhol como Língua Estrangeira
FLM0653 ; Aquisição/Aprendizagem do Francês como Língua Estrangeira
FLO1579 ; Aramaico Bíblico
FLH0630 ; Arqueologia
FLA0381 ; Artes da Memória: Espaço, Imagem e Narrativa
FLA0385 ; As Cidades e as Ideias
FLA0350 ; As Regras da Análise Estrutural
0808000 ; Aspectos da Cultura Brasileira I
0808001 ; Aspectos da Cultura Brasileira II
FLC0117 ; Aspectos da Literatura Grega I
FLC0118 ; Aspectos da Literatura Grega II
0805106 ; Aspectos de Ensino em Língua e Literatura
FLL1015 ; Aspectos Fundamentais da Língua de Sinais Brasileira
FLP0447 ; Associações e Democracia
0803001 ; Atividades Acadêmico - Ciêntifico - Culturais I (AACC - I)
0802101 ; Atividades Acadêmico-Científico-Culturais I
0805101 ; Atividades Acadêmico-Científico-Culturais I
0801001 ; Atividades Acadêmico-Científico-Culturais I (AACC I)
0804001 ; Atividades Acadêmico-Cientifico-Culturais I (AACC)
0802102 ; Atividades Acadêmico-Científico-Culturais II
0805102 ; Atividades Acadêmico-Científico-Culturais II
0801002 ; Atividades Acadêmico-Científico-Culturais II (AACC II)
0804002 ; Atividades Acadêmico-Cientifico-Culturais II (AACC)
0803002 ; Atividades Acadêmico-Científico-Culturais II - (AACC II)
0802103 ; Atividades Acadêmico-Científico-Culturais III
0805103 ; Atividades Acadêmico-Científico-Culturais III
0801003 ; Atividades Acadêmico-Científico-Culturais III (AACC III)
0804003 ; Atividades Acadêmico-Cientifico-Culturais III (AACC)
0803003 ; Atividades Acadêmico-Científico-Culturais III - (AACC III)
0802104 ; Atividades Acadêmico-Científico-Culturais IV
0805104 ; Atividades Acadêmico-Científico-Culturais IV
0801004 ; Atividades Acadêmico-Científico-Culturais IV  (AACC IV)
0803004 ; Atividades Acadêmico-Científico-Culturais IV (AACC - IV)
0804004 ; Atividades Acadêmico-Cientifico-Culturais IV (AACC)
0805105 ; Atividades Acadêmico-Científico-Culturais V
0800007 ; Atividades de Estágio: Alemão
0800008 ; Atividades de Estágio: Espanhol
0800006 ; Atividades de Estágio: Francês
0800005 ; Atividades de Estágio: Inglês
0800009 ; Atividades de Estágio: Italiano
0800004 ; Atividades de Estágio: português e literaturas em língua portuguesa
0804005 ; Atividades Práticas em Ciências Sociais
0801005 ; Atividades Práticas em Filosofia
0802105 ; Atividades Práticas em Geografia
0803005 ; Atividades Práticas em História
0805107 ; Atividades Práticas em Letras
FLC0376 ; Atuação Profissional na Área de Letras
FLP0405 ; Autoritarismo e Democracia No Brasil Atual
FLA0364 ; Benjamin, Brecht e Antropologia
FLG0356 ; Biogeografia
FLG0545 ; Cartografia Ambiental
FLG0243 ; Cartografia Tematica
FLA0399 ; Cidade e relação
FLA0368 ; Cidade e Relação: Sociabilidade, Situação, Plano Local
FSL0649 ; Cidade e Trabalho: Tópicos de Sociologia Urbana
FLA0390 ; Cidade, Corpo e Diferença
FSL0520 ; Cidade, Imigração e Relações Étnicas: as Teorias da Escola de Chicago
FLP0434 ; Cidade, Política e Políticas Públicas
FLG0253 ; Climatologia I
FLG0355 ; Climatologia II
FLG0111 ; Climatologia Urbana
FLM0683 ; Compreensão e Produção Escrita em Italiano
FLM0680 ; Compreensão e Produção Oral em Italiano
FLO1265 ; Compreensão e Produção Textual em  Árabe I
FLO1266 ; Compreensão e Produção Textual em Árabe  II
FLC1462 ; Comunicação em Contextos Empresariais
FLM0509 ; Comunicação Oral 2
FLC0479 ; Comunicação Oral e Escrita
FLO0177 ; Conceitos da Bíblia Hebraica I (Pentateuco)
FLO0178 ; Conceitos da Bíblia Hebraica II (Literatura Profética)
FLC0143 ; Conceitos de Poética Latina
FLC0142 ; Conceitos de Retórica Latina
FLA0360 ; Construção dos Conceitos de Natureza e de Sociedade na Antropologia
FLM0694 ; Contribuições Alemãs na História Cultural Européia
FLM0187 ; Conversação em Língua Alemã I
FLM0188 ; Conversação em Língua Alemã II
FLA0355 ; Corpo, Substância, Pessoa. Leituras de Etnologia Ameríndia
FLT0225 ; Correntes Críticas I
FLT0226 ; Correntes Críticas II
FLO0439 ; Crítica Literária Russa I
FLO0440 ; Crítica Literária Russa II
FLO0267 ; Cultura Árabe I
FLO0268 ; Cultura Árabe II
FLO0140 ; Cultura Armênia I
FLO0149 ; Cultura Armênia II
FLO0187 ; Cultura Chinesa I
FLO0188 ; Cultura Chinesa II
FLO1485 ; Cultura Coreana I
FLO1486 ; Cultura Coreana II
FLO0671 ; Cultura do Israel Bíblico I
FLO0672 ; Cultura do Israel Bíblico II
FLO0673 ; Cultura do Povo Judeu na Idade Média I
FLO0674 ; Cultura do Povo Judeu na Idade Média II
FLM0693 ; Cultura e Diversidade Regional nos Países de Língua Alemã
FLC0516 ; Cultura e Pensamento na Índia Antiga I
FLC0510 ; Cultura e Pensamento na Índia Antiga II
FLO0397 ; Cultura Japonesa I
FLO0398 ; Cultura Japonesa II
FLO1487 ; Cultura Judaica: Introdução ao Judaísmo I
FLO1488 ; Cultura Judaica: Introdução ao Judaísmo II
FLP0404 ; Cultura Política
FLM0696 ; Cultura Pop e Produção Cultural Contemporânea nos Países de Língua Alemã
FLO0237 ; Cultura Russa I
FLO0238 ; Cultura Russa II
FLH0424 ; Cultura Visual e Ensino de História
FSL0652 ; Cultura, Política e Sociedade em Antonio Gramsci
FLC0186 ; Da Língua de Roma às Línguas da România I
FLC0187 ; Da Língua de Roma às Línguas da România II
FLP0435 ; Democratização e Cultura Política
FLM0588 ; Descrição e Análise Morfossintática do Inglês
FSL0537 ; Desenvolvimento Econômico e Mudança Social
FSL0641 ; Desenvolvimento, Estado e Sociedade
FSL0524 ; Desigualdade: Conceito, Mensuração e Novas Abordagens
FLC0128 ; Diálogo Platônico
FLA0345 ; Dimensões Evolutivas do Comportamento Cultural
FLP0460 ; Ditadura, Democracia e a Construção de uma Ordem Constitucional no Brasil Contemporâneo
FLC0603 ; Diversidade Cultural e Educação:as Literaturas de Língua Portuguesa em Perspectiva
FLA0337 ; Do Afro ao Brasileiro: Religião e Cultura Nacional
FLC0299 ; Do Português Arcaico ao Português Brasileiro
FSL0506 ; Ecologia Humana e Sociologia Urbana
FSL0530 ; Educação e Sociedade: Interfaces Entre Cultura e Dominação
FSL0521 ; Elaboração de Projetos de Pesquisa em Sociologia
FLP0462 ; Eleições, Cidadania e Democracia no Brasil
FLG0142 ; Elementos de Cartografia Sistematica
FLP0500 ; Elementos de Ciência Política
FLL0433 ; Elementos de Lingüística I
FLL0434 ; Elementos de Lingüística II
FLG0701 ; Ensino de Geografia na Educação  Básica
FLH0421 ; Ensino de História: Teoria e Prática
FLC0601 ; Ensino de Literatura Brasileira
FLM0666 ; Ensino e Aprendizagem da Língua Italiana
FLC0124 ; Épica Grega: Homero
FLF0477 ; Epistemologia das Ciências Humanas
FLM0517 ; Escrita Acadêmica em Inglês
FLM0518 ; Escrita e Narrativa em Inglês
FLA0353 ; Espaço Urbano, Segregação e Urbanismo na Perspectiva Antropológica
FLP0451 ; Estado e Políticas Públicas
FLG0702 ; Estágio Supervisionado de Ensino de Geografia e Material Didático
FLF0485 ; Estágio Supervisionado de Licenciatura
FLG0593 ; Estagio Supervisionado Em Analise de Solos
FLG0591 ; Estagio Supervisionado Em Climatologia
FLG0597 ; Estagio Supervisionado Em Geoprocessamento
FLG0592 ; Estagio Supervisionado Em Sensoriamento Remoto
FSL0526 ; Estágio Supervisionado para as Ciências Sociais
FSL0526 ; Estágio Supervisionado para as Ciências Sociais
FLF0218 ; Estética I
FLF0219 ; Estética II
FLF0465 ; Estética III
FLF0503 ; Estética IV
FSL0611 ; Estrutura de Classes e Estratificação Social
FLA0315 ; Estrutura Social e Etnologia Sul Americana: Balanço Crítico e Novas Abordagens
FLC0176 ; Estudos Comparados de Literaturas de Língua Portuguesa I
FLC0177 ; Estudos Comparados de Literaturas de Língua Portuguesa II
FLC0536 ; Estudos Comparados de Literaturas de Língua Portuguesa III
FLC0537 ; Estudos Comparados de Literaturas de Língua Portuguesa IV
FLC0547 ; Estudos Comparados de Literaturas de Língua Portuguesa V (Oficina de Literatura)
FLM0616 ; Estudos Comparados entre a Língua Espanhola e o Português Brasileiro
FLM0584 ; Estudos de Cultura
FLM0524 ; Estudos Discursivos em Inglês
FLP0463 ; Estudos em Segurança Internacional Contemporânea
FLH0699 ; Estudos Latino-americanos: Ficção e História
FLO1279 ; Estudos sobre o Pensamento - Módulo I
FLO1280 ; Estudos sobre o Pensamento - Módulo II
FLF0388 ; Ética e Filosofia Política I
FLF0388 ; Ética e Filosofia Política I
FLF0389 ; Ética e Filosofia Política II
FLF0389 ; Ética e Filosofia Política II
FLF0463 ; Ética e Filosofia Política III
FLF0463 ; Ética e Filosofia Política III
FLF0505 ; Ética e Filosofia Política IV
FLF0505 ; Ética e Filosofia Política IV
FLA0314 ; Etnologia Comparada: Cosmologias Indígenas Sul-americanas
FLA0369 ; Expressão Artística e Experiência Social: Diferentes Aproximações
FLM0516 ; Expressão Escrita em Inglês
FLM0508 ; Expressão Oral em Inglês
FLO1268 ; Falsafa: Estudos de Filosofia Árabe
FLO1267 ; Falsafa: Filosofia Árabe Através dos Textos
FLA0352 ; Família, Política e Conflito Social
FLM0207 ; Ficção e História
FLC0507 ; Filologia  Romanica IV
FLC0182 ; Filologia  Românica: o catalão I
FLC0284 ; Filologia Portuguesa
FLC1459 ; Filologia Portuguesa: Edição de Documentos Brasileiros
FLC0504 ; Filologia Românica I
FLC0505 ; Filologia Românica II
FLC0506 ; Filologia Românica III
FLC0183 ; Filologia Românica: O Catalão II
FLC0184 ; Filologia Românica: O Galego I
FLC0185 ; Filologia Românica: O Galego II
FLF0464 ; Filosofia da Arte
FLF0473 ; Filosofia da Biologia
FLF0472 ; Filosofia da Física
FLF0461 ; Filosofia da Linguagem
FLF0358 ; Filosofia da Lógica
FLF0449 ; Filosofia e História da Ciência Moderna
FLF0114 ; Filosofia Geral
FLF0114 ; Filosofia Geral
FLF0116 ; Filosofia Geral I
FLF0116 ; Filosofia Geral I
FLF0479 ; Filosofia Geral II
FLF0479 ; Filosofia Geral II
FLF0441 ; Filosofia Geral III
FLF0441 ; Filosofia Geral III
FLF0501 ; Filosofia Geral IV
FLF0501 ; Filosofia Geral IV
FLF0480 ; Filosofia para Lingüística
FLL0117 ; Fonética Acústica e Articulatória
FLC0275 ; Fonética e Fonologia do Português
FLL1002 ; Fonética Experimental
FLC1262 ; Fonologia do Português
FLM0176 ; Fonologia e Fonética da Língua Alemã
FLL0130 ; Fonologia: Descrição e Análise
FSL0512 ; Formação do Pensamento Brasileiro
FSL0508 ; Formacao do Pensamento Sociologico
FLM0613 ; Formas Breves na Literatura Hispano-Americana
FLM1130 ; Francês I
FLM1131 ; Francês II
FLM1132 ; Francês III
FLM1133 ; Francês IV
FLM0199 ; Francês para Mobilidade Acadêmica para Engenharia
FLM1134 ; Francês V
FLM1135 ; Francês VI
FLM1136 ; Francês VII
